Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Emmylou Harris	Save the last dance for me				keine	1	2026-07-15T10:08:49.000Z	keine lokale Zuordnung gefunden
Emmylou Harris	Two more bottles of wine				keine	1	2026-07-14T01:24:47.000Z	keine lokale Zuordnung gefunden
Emmylou Harris, Dolly Parton, Linda Ronstadt	To know him is to love him				keine	1	2026-07-14T08:38:18.000Z	keine lokale Zuordnung gefunden
Emmylou Harris, Dolly Parton, Linda Ronstadt	Wildflowers				keine	2	2026-07-15T14:58:23.000Z	keine lokale Zuordnung gefunden
Eric Carmen	All By Myself				keine	1	2026-07-15T05:11:40.000Z	keine lokale Zuordnung gefunden
Eric Clapton	Wonderful Tonight				keine	3	2026-07-14T23:42:58.000Z	keine lokale Zuordnung gefunden
Everly Brothers	Bye Bye Love				keine	1	2026-07-14T13:53:55.000Z	keine lokale Zuordnung gefunden
Everly Brothers	On The Wings Of A Nightingale				keine	1	2026-07-15T05:59:03.000Z	keine lokale Zuordnung gefunden
Exile	Kiss you all over				keine	2	2026-07-15T08:24:13.000Z	keine lokale Zuordnung gefunden
Faith Hill	There you'll be				keine	2	2026-07-15T12:17:11.000Z	keine lokale Zuordnung gefunden
Faith Hill	This Kiss				keine	1	2026-07-15T00:08:54.000Z	keine lokale Zuordnung gefunden
Faith Hill & Tim McGraw	Let's make love				keine	1	2026-07-14T07:14:45.000Z	keine lokale Zuordnung gefunden
Fleetwood Mac	Dreams				keine	1	2026-07-14T13:40:20.000Z	keine lokale Zuordnung gefunden
Fleetwood Mac	You Make Loving Fun				keine	1	2026-07-14T20:48:43.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line	Can't Say I Ain't Country				keine	1	2026-07-13T20:17:52.000Z	keine lokale Zuordnung gefunden
Florida Georgia Line	Cruise				keine	1	2026-07-14T12:37:33.000Z	keine lokale Zuordnung gefunden
