Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Bruce Robison	Don't You Ever Call My Name				keine	2	2026-07-15T01:13:31.000Z	keine lokale Zuordnung gefunden
Bruce Springsteen	Hello Sunshine				keine	1	2026-07-15T03:19:28.000Z	keine lokale Zuordnung gefunden
Bryan Brazier	Something Worth Saving				keine	1	2026-07-14T12:47:33.000Z	keine lokale Zuordnung gefunden
Bryan Worth	Never Meant to Love You				keine	1	2026-07-14T11:53:37.000Z	keine lokale Zuordnung gefunden
Bryce Mauldin	All the Proof I Need				keine	1	2026-07-15T00:13:14.000Z	keine lokale Zuordnung gefunden
Buck Ford	One Of Those Jones Boys				keine	1	2026-07-14T07:16:40.000Z	keine lokale Zuordnung gefunden
Buddy Jewell	Dyess Arkansas				keine	1	2026-07-14T22:13:42.000Z	keine lokale Zuordnung gefunden
Buddy Jewell	You'll Find Your Way				keine	1	2026-07-14T08:27:50.000Z	keine lokale Zuordnung gefunden
Buddy Lewis	Roads Of Mud And Stone				keine	1	2026-07-15T16:05:47.000Z	keine lokale Zuordnung gefunden
Buddy Red Bow	Reservation Cowboy				keine	1	2026-07-15T04:13:54.000Z	keine lokale Zuordnung gefunden
C.W. McCall	Convoy				keine	1	2026-07-14T19:50:47.000Z	keine lokale Zuordnung gefunden
Cale Dodds	I Like Where This Is Going				keine	2	2026-07-15T10:03:36.000Z	keine lokale Zuordnung gefunden
Cale Tyson	Fool Of The Year				keine	1	2026-07-15T03:27:02.000Z	keine lokale Zuordnung gefunden
Calvin Rainwater	God Sent Me an Angel				keine	1	2026-07-14T16:13:43.000Z	keine lokale Zuordnung gefunden
Calvin Rainwater	Sinners & Saints				keine	1	2026-07-14T12:01:43.000Z	keine lokale Zuordnung gefunden
Calvin Rainwater	The Boulevard (Bonus Track)				keine	1	2026-07-15T05:43:19.000Z	keine lokale Zuordnung gefunden
Camille Sanders	Last Call				keine	1	2026-07-14T22:47:25.000Z	keine lokale Zuordnung gefunden
Campfire	Chasing Cars				keine	1	2026-07-15T12:17:30.000Z	keine lokale Zuordnung gefunden
Candi Carpenter	Burn The Bed				keine	1	2026-07-15T12:56:01.000Z	keine lokale Zuordnung gefunden
Carl Bentley	It's Too Early				keine	1	2026-07-14T12:06:04.000Z	keine lokale Zuordnung gefunden
Carly Pearce	You Know Where To Find Me				keine	1	2026-07-15T04:03:18.000Z	keine lokale Zuordnung gefunden
Carrie Underwood	Smoke Break				keine	1	2026-07-13T20:36:04.000Z	keine lokale Zuordnung gefunden
Casey Donhaew	Burned Out				keine	2	2026-07-14T19:14:06.000Z	keine lokale Zuordnung gefunden
Casey Weston	Waste Of My Time				keine	1	2026-07-14T08:42:20.000Z	keine lokale Zuordnung gefunden
Catherine Britt	Too Far Gone				keine	1	2026-07-15T11:43:42.000Z	keine lokale Zuordnung gefunden
Catherine McGrath	Lost In The Middle				keine	1	2026-07-15T10:09:48.000Z	keine lokale Zuordnung gefunden
Celeste Krenz	Come On Home (Cowboy Song)				keine	2	2026-07-15T04:51:27.000Z	keine lokale Zuordnung gefunden
Chalee Tennison	Sometime				keine	1	2026-07-15T03:16:23.000Z	keine lokale Zuordnung gefunden
Charley Crockett	Change Yo' Mind				keine	1	2026-07-14T21:52:06.000Z	keine lokale Zuordnung gefunden
Charley Crockett	Jamestown Ferry				keine	1	2026-07-15T11:40:36.000Z	keine lokale Zuordnung gefunden
Charley Jenkins	Country Music				keine	1	2026-07-15T15:18:43.000Z	keine lokale Zuordnung gefunden
Charlie Daniels Band	Waco				keine	2	2026-07-15T00:09:14.000Z	keine lokale Zuordnung gefunden
