Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Deep Purple	Child in Time				keine	2	2026-07-15T04:02:48.000Z	keine lokale Zuordnung gefunden
Deep Purple	Knocking at Your Back Door				keine	1	2026-07-14T08:17:36.000Z	keine lokale Zuordnung gefunden
Deep Purple	Second Movement: Andante				keine	1	2026-07-14T15:54:44.000Z	keine lokale Zuordnung gefunden
Deep Purple	Sometimes I Feel Like Screaming				keine	1	2026-07-14T02:14:28.000Z	keine lokale Zuordnung gefunden
Derek Trucks Band	I Wish I Knew(How It Would Feel)				keine	1	2026-07-14T03:30:24.000Z	keine lokale Zuordnung gefunden
Dewolff	Birth Of The Ninth Sun				keine	1	2026-07-15T02:02:41.000Z	keine lokale Zuordnung gefunden
Dexys Midnight Runners	Come On Eileen				keine	1	2026-07-14T09:17:51.000Z	keine lokale Zuordnung gefunden
Diana Ross & Marvin Gaye	You Are Everything				keine	1	2026-07-14T12:18:30.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Sideways				keine	1	2026-07-15T10:47:40.000Z	keine lokale Zuordnung gefunden
Dolly Parton	I Will Always Love You				keine	1	2026-07-13T18:35:05.000Z	keine lokale Zuordnung gefunden
Don Gibson	I'm Movin' On				keine	1	2026-07-13T19:09:11.000Z	keine lokale Zuordnung gefunden
Don Williams	Back in my younger days				keine	2	2026-07-15T09:56:53.000Z	keine lokale Zuordnung gefunden
Donovan Frankenreiter	Move By Yourself				keine	1	2026-07-15T03:48:37.000Z	keine lokale Zuordnung gefunden
Duran Duran	The Reflex				keine	1	2026-07-14T09:43:13.000Z	keine lokale Zuordnung gefunden
Dusty Springfield	You Don't Have To Say You Love Me				keine	2	2026-07-15T06:12:40.000Z	keine lokale Zuordnung gefunden
Eagles	One Of These Nights				keine	1	2026-07-13T21:37:02.000Z	keine lokale Zuordnung gefunden
Eddie Vedder	Society				keine	1	2026-07-13T19:41:42.000Z	keine lokale Zuordnung gefunden
Eddy Grant	Electric Avenue				keine	1	2026-07-14T08:24:41.000Z	keine lokale Zuordnung gefunden
Ekseption	Peace Planet				keine	1	2026-07-14T04:27:42.000Z	keine lokale Zuordnung gefunden
ELO	Ticket To The Moon				keine	2	2026-07-15T00:54:07.000Z	keine lokale Zuordnung gefunden
Eloy	Decay of the Logos				keine	1	2026-07-15T03:12:41.000Z	keine lokale Zuordnung gefunden
Elton John	Blue Eyes				keine	1	2026-07-15T06:54:21.000Z	keine lokale Zuordnung gefunden
Elton John	Goodbye Yellow Brick Road				keine	1	2026-07-15T05:47:01.000Z	keine lokale Zuordnung gefunden
Elton John	Your Song				keine	1	2026-07-14T11:17:35.000Z	keine lokale Zuordnung gefunden
Elvis Presley	In the ghetto				keine	1	2026-07-14T11:31:55.000Z	keine lokale Zuordnung gefunden
