Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Craig Campbell	Fish				keine	1	2026-07-14T07:52:24.000Z	keine lokale Zuordnung gefunden
Craig Campbell	Keep Them Kisses Comin'				keine	1	2026-07-13T23:10:37.000Z	keine lokale Zuordnung gefunden
Craig Campell	Family Man				keine	1	2026-07-13T19:21:14.000Z	keine lokale Zuordnung gefunden
Craig Morgan	Bonfire				keine	1	2026-07-14T16:43:28.000Z	keine lokale Zuordnung gefunden
Craig Morgan	International Harvester				keine	4	2026-07-15T05:23:15.000Z	keine lokale Zuordnung gefunden
Craig Morgan	This Ain't Nothin'				keine	1	2026-07-14T07:19:31.000Z	keine lokale Zuordnung gefunden
Craig Morgan	This Ole Boy				keine	1	2026-07-13T22:40:35.000Z	keine lokale Zuordnung gefunden
Craig Morgan	Wake Up Lovin' You				keine	1	2026-07-14T21:51:27.000Z	keine lokale Zuordnung gefunden
Craig Wayne Boyd	I Walk the Line				keine	1	2026-07-15T00:19:25.000Z	keine lokale Zuordnung gefunden
Craig Wayne Boyd	The Old Rugged Cross				keine	4	2026-07-15T13:58:03.000Z	keine lokale Zuordnung gefunden
Dan + Shay	From The Ground Up				keine	1	2026-07-14T08:06:32.000Z	keine lokale Zuordnung gefunden
Dan + Shay	How Not To				keine	1	2026-07-15T09:57:43.000Z	keine lokale Zuordnung gefunden
Danielle Bradbery	Born To Fly				keine	2	2026-07-15T04:59:43.000Z	keine lokale Zuordnung gefunden
Danielle Bradbery	The Heart of Dixie				keine	1	2026-07-15T01:08:49.000Z	keine lokale Zuordnung gefunden
Darius Rucker	Come Back Song				keine	1	2026-07-14T20:57:08.000Z	keine lokale Zuordnung gefunden
Darius Rucker	It won't be like this for long				keine	1	2026-07-15T09:24:47.000Z	keine lokale Zuordnung gefunden
Darius Rucker	Radio				keine	2	2026-07-14T12:17:26.000Z	keine lokale Zuordnung gefunden
Darius Rucker	Wagon Wheel				keine	1	2026-07-13T22:24:33.000Z	keine lokale Zuordnung gefunden
David Nail	Let It Rain				keine	1	2026-07-15T13:40:19.000Z	keine lokale Zuordnung gefunden
